[Imports]
nth vaddr      bind type lib          name                                   
-----------------------------------------------------------------------------
1   0x100e5470 NONE FUNC d3dx9_25.dll D3DXLoadSurfaceFromFileA
2   0x100e5474 NONE FUNC d3dx9_25.dll D3DXQuaternionNormalize
3   0x100e5478 NONE FUNC d3dx9_25.dll D3DXQuaternionSlerp
4   0x100e547c NONE FUNC d3dx9_25.dll D3DXMatrixLookAtRH
5   0x100e5480 NONE FUNC d3dx9_25.dll D3DXCreateEffectFromResourceA
6   0x100e5484 NONE FUNC d3dx9_25.dll D3DXCreateEffectFromFileA
7   0x100e5488 NONE FUNC d3dx9_25.dll D3DXCreateFontIndirectA
8   0x100e548c NONE FUNC d3dx9_25.dll D3DXCreateVolumeTextureFromResourceExA
9   0x100e5490 NONE FUNC d3dx9_25.dll D3DXCreateVolumeTextureFromFileExA
10  0x100e5494 NONE FUNC d3dx9_25.dll D3DXCreateCubeTextureFromResourceExA
11  0x100e5498 NONE FUNC d3dx9_25.dll D3DXCreateCubeTextureFromFileExA
12  0x100e549c NONE FUNC d3dx9_25.dll D3DXCreateTextureFromResourceExA
13  0x100e54a0 NONE FUNC d3dx9_25.dll D3DXMatrixRotationYawPitchRoll
14  0x100e54a4 NONE FUNC d3dx9_25.dll D3DXVec3TransformNormal
15  0x100e54a8 NONE FUNC d3dx9_25.dll D3DXMatrixRotationX
16  0x100e54ac NONE FUNC d3dx9_25.dll D3DXQuaternionRotationMatrix
17  0x100e54b0 NONE FUNC d3dx9_25.dll D3DXVec3TransformCoord
18  0x100e54b4 NONE FUNC d3dx9_25.dll D3DXVec3Normalize
19  0x100e54b8 NONE FUNC d3dx9_25.dll D3DXMatrixPerspectiveFovLH
20  0x100e54bc NONE FUNC d3dx9_25.dll D3DXMatrixLookAtLH
21  0x100e54c0 NONE FUNC d3dx9_25.dll D3DXMatrixTranslation
22  0x100e54c4 NONE FUNC d3dx9_25.dll D3DXMatrixRotationQuaternion
23  0x100e54c8 NONE FUNC d3dx9_25.dll D3DXQuaternionMultiply
24  0x100e54cc NONE FUNC d3dx9_25.dll D3DXFileCreate
25  0x100e54d0 NONE FUNC d3dx9_25.dll D3DXLoadMeshFromXof
26  0x100e54d4 NONE FUNC d3dx9_25.dll D3DXLoadMeshFromXA
27  0x100e54d8 NONE FUNC d3dx9_25.dll D3DXGetImageInfoFromFileA
28  0x100e54dc NONE FUNC d3dx9_25.dll D3DXCreateCubeTextureFromFileA
29  0x100e54e0 NONE FUNC d3dx9_25.dll D3DXCreateVolumeTextureFromFileA
30  0x100e54e4 NONE FUNC d3dx9_25.dll D3DXCreateTextureFromFileA
31  0x100e54e8 NONE FUNC d3dx9_25.dll D3DXGetDeclLength
32  0x100e54ec NONE FUNC d3dx9_25.dll D3DXComputeNormals
33  0x100e54f0 NONE FUNC d3dx9_25.dll D3DXMatrixScaling
34  0x100e54f4 NONE FUNC d3dx9_25.dll D3DXCheckVersion
35  0x100e54f8 NONE FUNC d3dx9_25.dll D3DXSaveSurfaceToFileA
36  0x100e54fc NONE FUNC d3dx9_25.dll D3DXMatrixInverse
37  0x100e5500 NONE FUNC d3dx9_25.dll D3DXMatrixMultiply
38  0x100e5504 NONE FUNC d3dx9_25.dll D3DXCreateLine
39  0x100e5508 NONE FUNC d3dx9_25.dll D3DXCreateTextureFromFileInMemory
40  0x100e550c NONE FUNC d3dx9_25.dll D3DXCreateTextureFromFileExA
41  0x100e5510 NONE FUNC d3dx9_25.dll D3DXLoadSurfaceFromSurface
42  0x100e5514 NONE FUNC d3dx9_25.dll D3DXVec3Project
43  0x100e5518 NONE FUNC d3dx9_25.dll D3DXCreateFontA
44  0x100e551c NONE FUNC d3dx9_25.dll D3DXCreateSprite
45  0x100e5520 NONE FUNC d3dx9_25.dll D3DXCreateTexture
46  0x100e5524 NONE FUNC d3dx9_25.dll D3DXCreateRenderToSurface
1   0x100e5298 NONE FUNC USER32.dll   CheckDlgButton
2   0x100e529c NONE FUNC USER32.dll   LoadIconA
3   0x100e52a0 NONE FUNC USER32.dll   GetCaretBlinkTime
4   0x100e52a4 NONE FUNC USER32.dll   GetKeyboardLayoutList
