dll	symbol
GDI32.dll	AddFontResourceA
GDI32.dll	RemoveFontResourceA
KERNEL32.dll	CloseHandle
KERNEL32.dll	CreateEventA
KERNEL32.dll	CreateWaitableTimerA
KERNEL32.dll	DeleteCriticalSection
KERNEL32.dll	EnterCriticalSection
KERNEL32.dll	FlushInstructionCache
KERNEL32.dll	FormatMessageA
KERNEL32.dll	FreeLibrary
KERNEL32.dll	GetCommandLineA
KERNEL32.dll	GetCurrentProcess
KERNEL32.dll	GetFileAttributesA
KERNEL32.dll	GetLastError
KERNEL32.dll	GetModuleFileNameA
KERNEL32.dll	GetModuleHandleA
KERNEL32.dll	GetProcAddress
KERNEL32.dll	GetProcessHeap
KERNEL32.dll	GetTickCount
KERNEL32.dll	HeapAlloc
KERNEL32.dll	HeapFree
KERNEL32.dll	InitializeCriticalSection
KERNEL32.dll	IsDBCSLeadByteEx
KERNEL32.dll	LeaveCriticalSection
KERNEL32.dll	LoadLibraryA
KERNEL32.dll	LoadLibraryW
KERNEL32.dll	LocalFree
KERNEL32.dll	MultiByteToWideChar
KERNEL32.dll	OutputDebugStringA
KERNEL32.dll	QueryPerformanceCounter
KERNEL32.dll	QueryPerformanceFrequency
KERNEL32.dll	SetEvent
KERNEL32.dll	SetUnhandledExceptionFilter
KERNEL32.dll	SetWaitableTimer
KERNEL32.dll	Sleep
KERNEL32.dll	TlsGetValue
KERNEL32.dll	VirtualAlloc
KERNEL32.dll	VirtualFree
KERNEL32.dll	VirtualProtect
KERNEL32.dll	VirtualQuery
KERNEL32.dll	WaitForSingleObject
KERNEL32.dll	WideCharToMultiByte
WS2_32.dll	WSACleanup
WS2_32.dll	WSAGetLastError
WS2_32.dll	WSAStartup
WS2_32.dll	bind
WS2_32.dll	closesocket
WS2_32.dll	connect
WS2_32.dll	freeaddrinfo
WS2_32.dll	getaddrinfo
WS2_32.dll	gethostbyname
WS2_32.dll	gethostname
WS2_32.dll	getsockname
WS2_32.dll	getsockopt
WS2_32.dll	htonl
WS2_32.dll	htons
WS2_32.dll	inet_addr
WS2_32.dll	inet_ntoa
WS2_32.dll	inet_ntop
WS2_32.dll	ioctlsocket
WS2_32.dll	listen
WS2_32.dll	ntohs
WS2_32.dll	recvfrom
WS2_32.dll	select
WS2_32.dll	send
WS2_32.dll	sendto
WS2_32.dll	setsockopt
WS2_32.dll	socket
libwinpthread-1.dll	pthread_cond_broadcast
libwinpthread-1.dll	pthread_cond_wait
libwinpthread-1.dll	pthread_getspecific
libwinpthread-1.dll	pthread_key_create
libwinpthread-1.dll	pthread_mutex_destroy
libwinpthread-1.dll	pthread_mutex_init
libwinpthread-1.dll	pthread_mutex_lock
libwinpthread-1.dll	pthread_mutex_unlock
libwinpthread-1.dll	pthread_once
libwinpthread-1.dll	pthread_setspecific
msvcrt.dll	__p___mb_cur_max
msvcrt.dll	__p__iob
msvcrt.dll	_amsg_exit
msvcrt.dll	_beginthreadex
msvcrt.dll	_errno
msvcrt.dll	_initterm
msvcrt.dll	_lock
msvcrt.dll	_read
msvcrt.dll	_snprintf
msvcrt.dll	_stricmp
msvcrt.dll	_unlock
msvcrt.dll	abort
msvcrt.dll	atoi
msvcrt.dll	calloc
msvcrt.dll	div
msvcrt.dll	fclose
msvcrt.dll	fopen
msvcrt.dll	fprintf
msvcrt.dll	fputc
msvcrt.dll	fputs
msvcrt.dll	fread
msvcrt.dll	free
msvcrt.dll	fseek
msvcrt.dll	ftell
msvcrt.dll	fwrite
msvcrt.dll	getenv
msvcrt.dll	localeconv
msvcrt.dll	malloc
msvcrt.dll	memchr
msvcrt.dll	memcmp
msvcrt.dll	memcpy
msvcrt.dll	memmove
msvcrt.dll	memset
msvcrt.dll	putchar
msvcrt.dll	rand
msvcrt.dll	realloc
msvcrt.dll	setlocale
msvcrt.dll	strcat
msvcrt.dll	strchr
msvcrt.dll	strcmp
msvcrt.dll	strcpy
msvcrt.dll	strerror
msvcrt.dll	strlen
msvcrt.dll	strncmp
msvcrt.dll	strncpy
msvcrt.dll	strrchr
msvcrt.dll	strtol
msvcrt.dll	strtoul
msvcrt.dll	vfprintf
msvcrt.dll	wcslen
