dll	symbol
ADVAPI32.dll	RegCloseKey
ADVAPI32.dll	RegOpenKeyExA
ADVAPI32.dll	RegQueryValueExA
ADVAPI32.dll	RegSetValueExA
BASS.dll	BASS_Apply3D
BASS.dll	BASS_ChannelGetTags
BASS.dll	BASS_ChannelPlay
BASS.dll	BASS_ChannelSet3DAttributes
BASS.dll	BASS_ChannelSet3DPosition
BASS.dll	BASS_ChannelSetSync
BASS.dll	BASS_ChannelStop
BASS.dll	BASS_Free
BASS.dll	BASS_Init
BASS.dll	BASS_Set3DFactors
BASS.dll	BASS_Set3DPosition
BASS.dll	BASS_SetConfig
BASS.dll	BASS_SetConfigPtr
BASS.dll	BASS_SetEAXParameters
BASS.dll	BASS_StreamCreateURL
BASS.dll	BASS_StreamFree
BASS.dll	BASS_StreamGetFilePosition
COMCTL32.dll	InitCommonControls
GDI32.dll	AddFontResourceA
GDI32.dll	RemoveFontResourceA
KERNEL32.dll	CloseHandle
KERNEL32.dll	CreateEventA
KERNEL32.dll	DeleteCriticalSection
KERNEL32.dll	EnterCriticalSection
KERNEL32.dll	FlushInstructionCache
KERNEL32.dll	FreeLibrary
KERNEL32.dll	GetCommandLineA
KERNEL32.dll	GetCurrentProcess
KERNEL32.dll	GetFileAttributesA
KERNEL32.dll	GetLastError
KERNEL32.dll	GetModuleFileNameA
KERNEL32.dll	GetModuleHandleA
KERNEL32.dll	GetProcAddress
KERNEL32.dll	GetProcessHeap
KERNEL32.dll	GetTickCount
KERNEL32.dll	HeapAlloc
KERNEL32.dll	HeapFree
KERNEL32.dll	InitializeCriticalSection
KERNEL32.dll	IsDBCSLeadByteEx
KERNEL32.dll	LeaveCriticalSection
KERNEL32.dll	LoadLibraryA
KERNEL32.dll	MultiByteToWideChar
KERNEL32.dll	OutputDebugStringA
KERNEL32.dll	SetEvent
KERNEL32.dll	SetUnhandledExceptionFilter
KERNEL32.dll	Sleep
KERNEL32.dll	TlsGetValue
KERNEL32.dll	VirtualAlloc
KERNEL32.dll	VirtualFree
KERNEL32.dll	VirtualProtect
KERNEL32.dll	VirtualQuery
KERNEL32.dll	WaitForSingleObject
KERNEL32.dll	WideCharToMultiByte
PSAPI.DLL	GetProcessMemoryInfo
SHELL32.dll	ExtractIconA
USER32.dll	AdjustWindowRect
USER32.dll	CallNextHookEx
USER32.dll	CallWindowProcA
USER32.dll	CheckDlgButton
USER32.dll	ClientToScreen
USER32.dll	ClipCursor
USER32.dll	CloseClipboard
USER32.dll	CreateWindowExA
USER32.dll	DefWindowProcW
USER32.dll	DestroyAcceleratorTable
USER32.dll	DestroyMenu
USER32.dll	DestroyWindow
USER32.dll	DialogBoxIndirectParamA
USER32.dll	DialogBoxParamA
USER32.dll	DispatchMessageA
USER32.dll	EmptyClipboard
USER32.dll	EnableWindow
USER32.dll	EndDialog
USER32.dll	EnumDisplaySettingsA
USER32.dll	GetAsyncKeyState
USER32.dll	GetCaretBlinkTime
USER32.dll	GetClassLongA
USER32.dll	GetClientRect
USER32.dll	GetClipboardData
USER32.dll	GetCursorPos
USER32.dll	GetDC
USER32.dll	GetDesktopWindow
USER32.dll	GetDlgItem
USER32.dll	GetFocus
USER32.dll	GetForegroundWindow
USER32.dll	GetIconInfo
USER32.dll	GetKeyState
USER32.dll	GetKeyboardLayout
USER32.dll	GetKeyboardLayoutList
USER32.dll	GetMenu
USER32.dll	GetMessageW
USER32.dll	GetSystemMetrics
USER32.dll	GetWindowLongA
USER32.dll	GetWindowPlacement
USER32.dll	GetWindowRect
USER32.dll	GetWindowTextA
USER32.dll	InflateRect
USER32.dll	IntersectRect
USER32.dll	IsDlgButtonChecked
USER32.dll	IsIconic
USER32.dll	IsWindowUnicode
USER32.dll	IsWindowVisible
USER32.dll	IsZoomed
USER32.dll	LoadCursorA
USER32.dll	LoadIconA
USER32.dll	MessageBoxA
USER32.dll	OffsetRect
USER32.dll	OpenClipboard
USER32.dll	PeekMessageA
USER32.dll	PeekMessageW
USER32.dll	PostMessageW
USER32.dll	PostQuitMessage
USER32.dll	PtInRect
USER32.dll	RegisterClassA
USER32.dll	ReleaseCapture
USER32.dll	ReleaseDC
USER32.dll	ScreenToClient
USER32.dll	SendMessageA
USER32.dll	SendMessageW
USER32.dll	SetCapture
USER32.dll	SetClassLongA
USER32.dll	SetClipboardData
USER32.dll	SetCursor
USER32.dll	SetCursorPos
USER32.dll	SetDlgItemTextA
USER32.dll	SetFocus
USER32.dll	SetForegroundWindow
USER32.dll	SetMenu
USER32.dll	SetRect
USER32.dll	SetRectEmpty
USER32.dll	SetWindowLongA
USER32.dll	SetWindowLongW
USER32.dll	SetWindowPlacement
USER32.dll	SetWindowPos
USER32.dll	SetWindowTextA
USER32.dll	ShowCursor
USER32.dll	ShowWindow
USER32.dll	SystemParametersInfoA
USER32.dll	TranslateAcceleratorA
USER32.dll	TranslateMessage
USER32.dll	UnregisterClassA
USER32.dll	keybd_event
USER32.dll	wsprintfA
WINMM.dll	timeBeginPeriod
WINMM.dll	timeGetTime
WSOCK32.dll	WSACleanup
WSOCK32.dll	WSAGetLastError
WSOCK32.dll	WSAStartup
WSOCK32.dll	bind
WSOCK32.dll	closesocket
WSOCK32.dll	connect
WSOCK32.dll	gethostbyname
WSOCK32.dll	gethostname
WSOCK32.dll	getsockname
WSOCK32.dll	getsockopt
WSOCK32.dll	htonl
WSOCK32.dll	htons
WSOCK32.dll	inet_addr
WSOCK32.dll	inet_ntoa
WSOCK32.dll	ioctlsocket
WSOCK32.dll	listen
WSOCK32.dll	ntohs
WSOCK32.dll	recvfrom
WSOCK32.dll	select
WSOCK32.dll	sendto
WSOCK32.dll	setsockopt
WSOCK32.dll	socket
d3dx9_25.dll	D3DXCheckVersion
d3dx9_25.dll	D3DXComputeNormals
d3dx9_25.dll	D3DXCreateCubeTextureFromFileA
d3dx9_25.dll	D3DXCreateCubeTextureFromFileExA
d3dx9_25.dll	D3DXCreateCubeTextureFromResourceExA
d3dx9_25.dll	D3DXCreateEffectFromFileA
d3dx9_25.dll	D3DXCreateEffectFromResourceA
d3dx9_25.dll	D3DXCreateFontA
d3dx9_25.dll	D3DXCreateFontIndirectA
d3dx9_25.dll	D3DXCreateLine
d3dx9_25.dll	D3DXCreateRenderToSurface
d3dx9_25.dll	D3DXCreateSprite
d3dx9_25.dll	D3DXCreateTexture
d3dx9_25.dll	D3DXCreateTextureFromFileA
d3dx9_25.dll	D3DXCreateTextureFromFileExA
d3dx9_25.dll	D3DXCreateTextureFromFileInMemory
d3dx9_25.dll	D3DXCreateTextureFromResourceExA
d3dx9_25.dll	D3DXCreateVolumeTextureFromFileA
d3dx9_25.dll	D3DXCreateVolumeTextureFromFileExA
d3dx9_25.dll	D3DXCreateVolumeTextureFromResourceExA
d3dx9_25.dll	D3DXFileCreate
d3dx9_25.dll	D3DXGetDeclLength
d3dx9_25.dll	D3DXGetImageInfoFromFileA
d3dx9_25.dll	D3DXLoadMeshFromXA
d3dx9_25.dll	D3DXLoadMeshFromXof
d3dx9_25.dll	D3DXLoadSurfaceFromFileA
d3dx9_25.dll	D3DXLoadSurfaceFromSurface
d3dx9_25.dll	D3DXMatrixInverse
