dll	symbol
ADVAPI32.dll	RegCloseKey
ADVAPI32.dll	RegOpenKeyExA
ADVAPI32.dll	RegQueryValueExA
ADVAPI32.dll	RegSetValueExA
BASS.dll	BASS_Apply3D
BASS.dll	BASS_ChannelGetTags
BASS.dll	BASS_ChannelPlay
BASS.dll	BASS_ChannelSet3DAttributes
BASS.dll	BASS_ChannelSet3DPosition
BASS.dll	BASS_ChannelSetSync
BASS.dll	BASS_ChannelStop
BASS.dll	BASS_Free
BASS.dll	BASS_Init
BASS.dll	BASS_Set3DFactors
BASS.dll	BASS_Set3DPosition
BASS.dll	BASS_SetConfig
BASS.dll	BASS_SetConfigPtr
BASS.dll	BASS_SetEAXParameters
BASS.dll	BASS_StreamCreateURL
BASS.dll	BASS_StreamFree
BASS.dll	BASS_StreamGetFilePosition
COMCTL32.dll	InitCommonControls
GDI32.dll	AddFontResourceA
GDI32.dll	CreateCompatibleDC
GDI32.dll	DeleteDC
GDI32.dll	DeleteObject
GDI32.dll	GetClipBox
GDI32.dll	GetDCOrgEx
GDI32.dll	GetDIBits
GDI32.dll	GetObjectA
GDI32.dll	GetStockObject
GDI32.dll	SelectObject
KERNEL32.dll	CloseHandle
KERNEL32.dll	CompareStringA
KERNEL32.dll	CompareStringW
KERNEL32.dll	CreateDirectoryA
KERNEL32.dll	CreateFileA
KERNEL32.dll	CreateThread
KERNEL32.dll	CreateToolhelp32Snapshot
KERNEL32.dll	DeleteCriticalSection
KERNEL32.dll	DeleteFileA
KERNEL32.dll	EnterCriticalSection
KERNEL32.dll	EnumSystemLocalesA
KERNEL32.dll	ExitProcess
KERNEL32.dll	ExitThread
KERNEL32.dll	FatalAppExitA
KERNEL32.dll	FileTimeToLocalFileTime
KERNEL32.dll	FileTimeToSystemTime
KERNEL32.dll	FindClose
KERNEL32.dll	FindFirstFileA
KERNEL32.dll	FindNextFileA
KERNEL32.dll	FlushFileBuffers
KERNEL32.dll	FlushInstructionCache
KERNEL32.dll	FreeEnvironmentStringsA
KERNEL32.dll	FreeEnvironmentStringsW
KERNEL32.dll	FreeLibrary
KERNEL32.dll	GetACP
KERNEL32.dll	GetCPInfo
KERNEL32.dll	GetCommandLineA
KERNEL32.dll	GetCurrentDirectoryA
KERNEL32.dll	GetCurrentProcess
KERNEL32.dll	GetCurrentProcessId
KERNEL32.dll	GetCurrentThread
KERNEL32.dll	GetCurrentThreadId
KERNEL32.dll	GetDateFormatA
KERNEL32.dll	GetDriveTypeA
KERNEL32.dll	GetEnvironmentStrings
KERNEL32.dll	GetEnvironmentStringsW
KERNEL32.dll	GetFileAttributesA
KERNEL32.dll	GetFileType
KERNEL32.dll	GetFullPathNameA
KERNEL32.dll	GetLastError
KERNEL32.dll	GetLocaleInfoA
KERNEL32.dll	GetLocaleInfoW
KERNEL32.dll	GetModuleFileNameA
KERNEL32.dll	GetModuleHandleA
KERNEL32.dll	GetOEMCP
KERNEL32.dll	GetProcAddress
KERNEL32.dll	GetProcessHeap
KERNEL32.dll	GetStartupInfoA
KERNEL32.dll	GetStdHandle
KERNEL32.dll	GetStringTypeA
KERNEL32.dll	GetStringTypeW
KERNEL32.dll	GetSystemDirectoryA
KERNEL32.dll	GetSystemInfo
KERNEL32.dll	GetSystemTimeAsFileTime
KERNEL32.dll	GetTickCount
KERNEL32.dll	GetTimeFormatA
KERNEL32.dll	GetTimeZoneInformation
KERNEL32.dll	GetUserDefaultLCID
KERNEL32.dll	GetVersionExA
KERNEL32.dll	GetVersionExW
KERNEL32.dll	GlobalAlloc
KERNEL32.dll	GlobalFree
KERNEL32.dll	GlobalLock
KERNEL32.dll	GlobalMemoryStatusEx
KERNEL32.dll	GlobalUnlock
KERNEL32.dll	HeapAlloc
KERNEL32.dll	HeapCreate
KERNEL32.dll	HeapDestroy
KERNEL32.dll	HeapFree
KERNEL32.dll	HeapReAlloc
KERNEL32.dll	HeapSize
KERNEL32.dll	InitializeCriticalSection
KERNEL32.dll	InterlockedExchange
KERNEL32.dll	IsBadCodePtr
KERNEL32.dll	IsBadReadPtr
KERNEL32.dll	IsBadWritePtr
KERNEL32.dll	IsDBCSLeadByteEx
KERNEL32.dll	IsValidCodePage
KERNEL32.dll	IsValidLocale
KERNEL32.dll	LCMapStringA
KERNEL32.dll	LCMapStringW
KERNEL32.dll	LeaveCriticalSection
KERNEL32.dll	LoadLibraryA
KERNEL32.dll	Module32First
KERNEL32.dll	Module32Next
KERNEL32.dll	MoveFileA
KERNEL32.dll	MultiByteToWideChar
KERNEL32.dll	OutputDebugStringA
KERNEL32.dll	QueryPerformanceCounter
KERNEL32.dll	QueryPerformanceFrequency
KERNEL32.dll	RaiseException
KERNEL32.dll	ReadFile
KERNEL32.dll	ResumeThread
KERNEL32.dll	RtlUnwind
KERNEL32.dll	SetConsoleCtrlHandler
KERNEL32.dll	SetCurrentDirectoryA
KERNEL32.dll	SetEndOfFile
KERNEL32.dll	SetEnvironmentVariableA
KERNEL32.dll	SetEvent
KERNEL32.dll	SetFilePointer
KERNEL32.dll	SetHandleCount
KERNEL32.dll	SetLastError
KERNEL32.dll	SetProcessAffinityMask
KERNEL32.dll	SetStdHandle
KERNEL32.dll	SetUnhandledExceptionFilter
KERNEL32.dll	Sleep
KERNEL32.dll	TerminateProcess
KERNEL32.dll	TlsAlloc
KERNEL32.dll	TlsFree
KERNEL32.dll	TlsGetValue
KERNEL32.dll	TlsSetValue
KERNEL32.dll	UnhandledExceptionFilter
KERNEL32.dll	VirtualAlloc
KERNEL32.dll	VirtualFree
KERNEL32.dll	VirtualProtect
KERNEL32.dll	VirtualQuery
KERNEL32.dll	WideCharToMultiByte
KERNEL32.dll	WriteFile
KERNEL32.dll	lstrcatA
KERNEL32.dll	lstrcmpA
KERNEL32.dll	lstrcmpiA
KERNEL32.dll	lstrcpyA
KERNEL32.dll	lstrcpynA
KERNEL32.dll	lstrlenA
KERNEL32.dll	lstrlenW
PSAPI.DLL	GetProcessMemoryInfo
SHELL32.dll	ExtractIconA
USER32.dll	AdjustWindowRect
USER32.dll	CallNextHookEx
USER32.dll	CallWindowProcA
USER32.dll	CheckDlgButton
USER32.dll	ClientToScreen
USER32.dll	ClipCursor
USER32.dll	CloseClipboard
USER32.dll	CreateWindowExA
USER32.dll	DefWindowProcW
USER32.dll	DestroyAcceleratorTable
USER32.dll	DestroyMenu
USER32.dll	DestroyWindow
USER32.dll	DialogBoxIndirectParamA
USER32.dll	DialogBoxParamA
USER32.dll	DispatchMessageA
USER32.dll	EmptyClipboard
USER32.dll	EnableWindow
USER32.dll	EndDialog
USER32.dll	EnumDisplaySettingsA
USER32.dll	GetAsyncKeyState
USER32.dll	GetCaretBlinkTime
USER32.dll	GetClassLongA
USER32.dll	GetClientRect
USER32.dll	GetClipboardData
USER32.dll	GetCursorPos
USER32.dll	GetDC
USER32.dll	GetDesktopWindow
USER32.dll	GetDlgItem
USER32.dll	GetFocus
USER32.dll	GetForegroundWindow
USER32.dll	GetIconInfo
USER32.dll	GetKeyState
USER32.dll	GetKeyboardLayout
USER32.dll	GetKeyboardLayoutList
USER32.dll	GetMenu
USER32.dll	GetMessageW
