index	rva	size	description
0	00000000	00000000	Export Directory [.edata (or where ever we found it)]
1	000fc298	000000f0	Import Directory [parts of .idata]
2	00271000	000006b0	Resource Directory [.rsrc]
3	00000000	00000000	Exception Directory [.pdata]
4	00000000	00000000	Security Directory
5	00272000	00009da0	Base Relocation Directory [.reloc]
6	000e5530	0000001c	Debug Directory
7	00000000	00000000	Description Directory
8	00000000	00000000	Special Directory
9	00000000	00000000	Thread Storage Directory [.tls]
a	00000000	00000000	Load Configuration Directory
b	00000000	00000000	Bound Import Directory
c	000e5000	0000052c	Import Address Table Directory
d	00000000	00000000	Delay Import Directory
e	00000000	00000000	CLR Runtime Header
f	00000000	00000000	Reserved
